1,1,16,1
2,2,17,1
3,3,18,3
4,4,19,1
5,5,20,1
6,6,21,1
7,7,22,1
8,8,23,3
9,9,24,1
10,10,25,1
11,11,26,1
12,12,27,1
13,13,28,3
14,14,29,1
15,15,30,1
16,16,17,2
17,17,18,2
18,18,19,2
19,19,20,2
20,16,21,2
21,17,22,2
22,18,23,2
23,19,24,2
24,20,25,2
25,21,22,2
26,22,23,2
27,23,24,2
28,24,25,2
29,21,26,2
30,22,27,2
31,23,28,2
32,24,29,2
33,25,30,2
34,26,27,2
35,27,28,2
36,28,29,2
37,29,30,2
38,16,31,1
39,17,32,1
40,18,33,3
41,19,34,1
42,20,35,1
43,21,36,1
44,22,37,1
45,23,38,3
46,24,39,1
47,25,40,1
48,26,41,1
49,27,42,1
50,28,43,3
51,29,44,1
52,30,45,1
53,31,32,2
54,32,33,2
55,33,34,2
56,34,35,2
57,31,36,2
58,32,37,2
59,33,38,2
60,34,39,2
61,35,40,2
62,36,37,2
63,37,38,2
64,38,39,2
65,39,40,2
66,36,41,2
67,37,42,2
68,38,43,2
69,39,44,2
70,40,45,2
71,41,42,2
72,42,43,2
73,43,44,2
74,44,45,2
75,31,46,1
76,32,47,1
77,33,48,3
78,34,49,1
79,35,50,1
80,36,51,1
81,37,52,1
82,38,53,3
83,39,54,1
84,40,55,1
85,41,56,1
86,42,57,1
87,43,58,3
88,44,59,1
89,45,60,1
90,46,47,2
91,47,48,2
92,48,49,2
93,49,50,2
94,46,51,2
95,47,52,2
96,48,53,2
97,49,54,2
98,50,55,2
99,51,52,2
100,52,53,2
101,53,54,2
102,54,55,2
103,51,56,2
104,52,57,2
105,53,58,2
106,54,59,2
107,55,60,2
108,56,57,2
109,57,58,2
110,58,59,2
111,59,60,2
112,46,61,1
113,47,62,1
114,48,63,3
115,49,64,1
116,50,65,1
117,51,66,1
118,52,67,1
119,53,68,3
120,54,69,1
121,55,70,1
122,56,71,1
123,57,72,1
124,58,73,3
125,59,74,1
126,60,75,1
127,61,62,2
128,62,63,2
129,63,64,2
130,64,65,2
131,61,66,2
132,62,67,2
133,63,68,2
134,64,69,2
135,65,70,2
136,66,67,2
137,67,68,2
138,68,69,2
139,69,70,2
140,66,71,2
141,67,72,2
142,68,73,2
143,69,74,2
144,70,75,2
145,71,72,2
146,72,73,2
147,73,74,2
148,74,75,2
149,61,76,1
150,62,77,1
151,63,78,3
152,64,79,1
153,65,80,1
154,66,81,1
155,67,82,1
156,68,83,3
157,69,84,1
158,70,85,1
159,71,86,1
160,72,87,1
161,73,88,3
162,74,89,1
163,75,90,1
164,76,77,2
165,77,78,2
166,78,79,2
167,79,80,2
168,76,81,2
169,77,82,2
170,78,83,2
171,79,84,2
172,80,85,2
173,81,82,2
174,82,83,2
175,83,84,2
176,84,85,2
177,81,86,2
178,82,87,2
179,83,88,2
180,84,89,2
181,85,90,2
182,86,87,2
183,87,88,2
184,88,89,2
185,89,90,2
186,76,91,1
187,77,92,1
188,78,93,3
189,79,94,1
190,80,95,1
191,81,96,1
192,82,97,1
193,83,98,3
194,84,99,1
195,85,100,1
196,86,101,1
197,87,102,1
198,88,103,3
199,89,104,1
200,90,105,1
201,91,92,2
202,92,93,2
203,93,94,2
204,94,95,2
205,91,96,2
206,92,97,2
207,93,98,2
208,94,99,2
209,95,100,2
210,96,97,2
211,97,98,2
212,98,99,2
213,99,100,2
214,96,101,2
215,97,102,2
216,98,103,2
217,99,104,2
218,100,105,2
219,101,102,2
220,102,103,2
221,103,104,2
222,104,105,2
223,91,106,1
224,92,107,1
225,93,108,3
226,94,109,1
227,95,110,1
228,96,111,1
229,97,112,1
230,98,113,3
231,99,114,1
232,100,115,1
233,101,116,1
234,102,117,1
235,103,118,3
236,104,119,1
237,105,120,1
238,106,107,2
239,107,108,2
240,108,109,2
241,109,110,2
242,106,111,2
243,107,112,2
244,108,113,2
245,109,114,2
246,110,115,2
247,111,112,2
248,112,113,2
249,113,114,2
250,114,115,2
251,111,116,2
252,112,117,2
253,113,118,2
254,114,119,2
255,115,120,2
256,116,117,2
257,117,118,2
258,118,119,2
259,119,120,2
260,106,121,1
261,107,122,1
262,108,123,3
263,109,124,1
264,110,125,1
265,111,126,1
266,112,127,1
267,113,128,3
268,114,129,1
269,115,130,1
270,116,131,1
271,117,132,1
272,118,133,3
273,119,134,1
274,120,135,1
275,121,122,2
276,122,123,2
277,123,124,2
278,124,125,2
279,121,126,2
280,122,127,2
281,123,128,2
282,124,129,2
283,125,130,2
284,126,127,2
285,127,128,2
286,128,129,2
287,129,130,2
288,126,131,2
289,127,132,2
290,128,133,2
291,129,134,2
292,130,135,2
293,131,132,2
294,132,133,2
295,133,134,2
296,134,135,2
