1,1,6,1
2,2,7,1
3,3,8,3
4,4,9,1
5,5,10,1
6,6,7,2
7,7,8,2
8,8,9,2
9,9,10,2
10,6,11,1
11,7,12,1
12,8,13,3
13,9,14,1
14,10,15,1
15,11,12,2
16,12,13,2
17,13,14,2
18,14,15,2
19,11,16,1
20,12,17,1
21,13,18,3
22,14,19,1
23,15,20,1
24,16,17,2
25,17,18,2
26,18,19,2
27,19,20,2
28,16,21,1
29,17,22,1
30,18,23,3
31,19,24,1
32,20,25,1
33,21,22,2
34,22,23,2
35,23,24,2
36,24,25,2
37,21,26,1
38,22,27,1
39,23,28,3
40,24,29,1
41,25,30,1
42,26,27,2
43,27,28,2
44,28,29,2
45,29,30,2
46,26,31,1
47,27,32,1
48,28,33,3
49,29,34,1
50,30,35,1
51,31,32,2
52,32,33,2
53,33,34,2
54,34,35,2
55,31,36,1
56,32,37,1
57,33,38,3
58,34,39,1
59,35,40,1
60,36,37,2
61,37,38,2
62,38,39,2
63,39,40,2
64,36,41,1
65,37,42,1
66,38,43,3
67,39,44,1
68,40,45,1
69,41,42,2
70,42,43,2
71,43,44,2
72,44,45,2
